step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.152377,1.509248,1356.871,15.955,1340.801,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
1,ramp,1.521085,2.403246,882.162,1.765,880.306,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
2,ramp,2.416206,3.298284,882.078,1.761,880.234,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
3,ramp,3.309683,4.195053,885.369,1.773,883.524,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
4,ramp,4.207964,5.092050,884.086,1.753,882.266,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
5,ramp,5.103275,5.988673,885.398,1.767,883.554,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
6,ramp,5.999868,6.885585,885.717,1.768,883.878,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
7,ramp,6.896946,7.784650,887.704,1.762,885.876,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
8,ramp,7.796197,8.684476,888.279,1.756,886.454,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
9,ramp,8.695622,9.584428,888.806,1.765,886.979,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
10,steady,9.596010,10.484558,888.548,1.758,886.725,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
11,steady,10.495949,11.385554,889.605,1.760,887.774,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
12,steady,11.397795,12.288479,890.683,1.767,888.849,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
13,steady,12.299999,13.188968,888.970,1.766,887.135,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
14,steady,13.200328,14.089936,889.608,1.748,887.797,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
15,steady,14.101127,14.989660,888.532,1.759,886.711,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
16,steady,15.001062,15.886006,884.944,1.764,883.117,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
17,steady,15.897842,16.782983,885.140,1.761,883.311,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
18,steady,16.794755,17.683011,888.256,1.761,886.429,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
19,steady,17.695031,18.582505,887.475,1.756,885.660,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
20,steady,18.595474,19.484071,888.597,1.761,886.769,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
21,steady,19.495326,20.385033,889.707,1.763,887.882,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
22,steady,20.396533,21.286750,890.217,1.764,888.382,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
23,steady,21.298119,22.187156,889.037,1.767,887.194,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
24,steady,22.198714,23.089180,890.466,1.766,888.624,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
25,steady,23.100640,23.992732,892.092,1.770,890.252,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
26,steady,24.004773,24.897550,892.778,1.759,890.954,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
27,steady,24.908877,25.801931,893.053,1.752,891.238,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
